S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
181,HARYANA,Kurukshetra,15003.8,8190.31,5030.2,5022.79,33247.1,3324.31,29922.79,66729,6279,73008,3145,0,243.99
182,HARYANA,Mahendragarh,16708,2978,5214,6247,31147,3115,28032,23266,3033,26299,3496,6124,93.82
183,HARYANA,Mewat,8318,3709,4039,4779,20845,2085,18760,17595,1130,18725,1759,2746,99.81
184,HARYANA,Palwal,11362,15970,2393,22364,52089,5209,46880,47822,2320,50142,2167,0,106.96
185,HARYANA,Panchkula,9406,933,2569,672,13580,1357,12223,7199,1116,8315,1038,3909,68.03
186,HARYANA,Panipat,13030,7616,2589,9943,33178,3317,29861,54100,1972,56072,1904,0,187.78
187,HARYANA,Rewari,18174,5005,4334,15187,42700,4270,38430,29559,5520,35079,5507,5597,91.28
188,HARYANA,Rohtak,12743.28,9556.3,4746.8,10252.75,37299.13,3729.92,33569.21,18495,560,19055,2407,12624.89,56.76
189,HARYANA,Sirsa,26332.52,15090.78,3951.93,27095.55,72470.78,7247.08,65223.7,128027,856,128883,1775,0,197.6
190,HARYANA,Sonipat,17662.75,25961.6,6135.36,27497.04,77256.75,7725.67,69531.08,63622,3232,66854,3203,11710,96.15
191,HARYANA,Yamunanagar,24142,11624,8352,9305,53423,5342,48081,62427,13065,75492,12975,1636,157.01
192,HIMACHAL,Indora,7635.97,519.1,2556.12,1038.19,11749.38,1174.94,10574.44,6228.99,6994.67,13223.66,6994.67,481.54,125.05
193,HIMACHAL,Nurpur,9852.88,206.19,2289.39,412.38,12760.84,1276.08,11484.76,2474.22,1594.01,4068.23,2464,7150.58,35.42
194,HIMACHAL,Balh,1828.17,21.87,864.22,43.74,2758,277.92,2480.08,262.42,627.41,889.83,627.41,4709.11,35.88
195,HIMACHAL,Paonta,5464.68,40.6,1009.72,81.19,6596.19,659.62,5936.57,486.65,837.3,1323.95,4758.6,1143.51,22.3
196,HIMACHAL,Kala Amb,87.42,5.06,16.15,10.13,118.76,11.88,106.88,60.61,351,411.61,10194.8,0,385.11
197,HIMACHAL,Nalagarh,5565.52,209.82,1920.85,419.65,8115.84,811.58,7304.26,2509.96,6005.11,8515.07,6005.11,389.8,116.58
198,HIMACHAL,Una,2679.93,657.17,2689.81,1863.02,7889.93,788.99,7100.94,7885.88,2594.23,10480.11,2594.3,2569.71,147.59
199,HIMACHAL,Hum,417.55,5.44,120.03,44.87,587.89,58.79,529.1,326.09,73.38,399.47,326.09,0,75.5
200,J&K,Anantnag,9864.26,2186.24,10852.62,1417.71,24320.83,2432.08,21888.74,420.8,3664.44,4085.24,3626.64,17803.5,18.66
201,J&K,Kulgam,586.37,3115.84,643.68,1688.08,6033.96,603.4,5430.57,147.28,1679.54,1826.82,1650.38,3603.74,33.64
202,J&K,Pulwama,4094.65,3037.61,5602.13,1738.18,14472.58,1447.26,13025.32,252.29,3210.77,3463.06,3195.65,9562.27,26.59
203,J&K,Shopian,1176.36,1653.74,1609.45,1141.71,5581.26,558.13,5023.14,100.8,1363.04,1463.84,1336.04,3559.3,29.14
204,J&K,Srinagar,4603.95,2334.44,4958.58,1707.89,13604.86,1360.49,12244.37,662.26,3258.72,3920.98,3122.06,8323.4,32.02
205,J&K,Ganderbal,343.14,1241.96,369.58,1567.93,3522.61,352.26,3170.35,420.48,357.24,777.72,336.38,2392.63,24.53
206,J&K,Budgam,4459.39,3521.72,5429.76,4716.56,18127.42,1812.74,16314.68,662.26,4115.48,4777.74,4036.61,11536.94,29.28
207,J&K,Baramulla,18092.1,1781.47,11360.5,2381.86,33615.94,3361.59,30254.34,2112.91,6845.76,8958.67,5918.26,21295.68,29.61
208,J&K,Bandipora,806.2,1470.64,506.24,1869.59,4652.68,465.27,4187.41,367.92,1737.91,2105.83,1671.41,2081.58,50.29
209,J&K,Kupwara,6184.32,2828.72,4898.4,3678.86,17590.3,1759.03,15831.27,388.94,3167.58,3556.52,3132.58,12274.75,22.47
210,J&K,Leh,3305.79,16.12,6769.84,19.7,10111.46,1011.15,9100.31,89.86,1608.01,1697.87,1587.31,7402.45,18.66
211,J&K,Kargil,109.44,4.34,583.2,5.31,702.29,70.23,632.06,24.19,62.89,87.08,58.75,544.97,13.78
212,J&K,Jammu,21456.28,18681.78,12119.88,18729.59,70987.52,7098.75,63888.77,8201.16,11941.63,20142.79,9513.36,43745.98,31.53
213,J&K,Samba,5816.84,1032.1,3285.72,1405.12,11539.78,1153.98,10385.8,1419.12,1692.41,3111.53,1566.29,7274.27,29.96
214,J&K,Udhampur,412.82,331.31,3046.78,496.18,4287.09,428.71,3858.38,336.38,1160.9,1497.29,1019.66,2361.09,38.81
215,J&K,Reasi,66.14,294.78,488.11,450.25,1299.27,129.93,1169.34,178.7,546.62,725.33,494.06,444.02,62.03
216,J&K,Kathua,12143.32,6231.1,5756.7,7598.56,31729.68,3172.97,28556.71,2611.47,6370.27,8981.74,5350.61,19574.96,31.45
217,J&K,Doda,504.82,18.86,1880.21,23.05,2426.94,242.69,2184.25,105.12,574.74,679.86,557.14,1504.39,31.13
218,J&K,Kishtwar,428.33,5.65,1452.7,6.91,1893.59,189.36,1704.23,31.5,147.17,178.67,147.17,1525.56,10.48
219,J&K,Ramban,295.75,5.65,1101.54,6.91,1409.85,140.98,1268.86,31.5,112,143.5,94.5,1125.36,11.31
220,J&K,Rajouri,1819.72,307.42,1229.9,454.89,3811.94,381.19,3430.74,304.5,1121.26,1425.76,1103.76,2004.98,41.56
221,J&K,Poonch,2948.92,128.74,4051.75,157.34,7286.75,728.67,6558.07,717.5,1349,2066.5,17.5,4491.57,31.51
222,JHARKHAND,Bokaro,23143.61,626.87,1690.79,1502.56,26963.83,2358.64,24605.19,2200.25,9804.63,12004.88,6031.6,13516.96,48.79
223,JHARKHAND,Chatra,25140.17,753.86,1554.12,2670.89,30119.04,2532.65,27586.39,5917,2414.5,8331.5,1705.99,19254.81,30.2
224,JHARKHAND,Deoghar,15252.19,415.31,1019.55,1557.77,18244.82,1402.73,16842.09,4859.63,2255.88,7115.5,2055.95,9726.51,42.25
225,JHARKHAND,Dhanbad,16082.13,2032.64,1284.17,3474.36,22873.3,1509.08,21364.22,2414.5,13885.65,16300.15,3784.78,5732.1,76.3
226,JHARKHAND,Dumka,22916.01,459.81,1357.58,1823.19,26556.59,2221.28,24335.31,3690.75,2212.4,5903.15,2195.08,18432.14,24.26
227,JHARKHAND,East Singhbhum,21843.62,245.93,2294.08,976.04,25359.67,2368.18,22991.49,1301,3274.78,4575.78,2731.07,18415.65,19.9
228,JHARKHAND,Garhwa,25544.86,673.23,2144.45,2669.65,31032.19,2414.63,28617.56,5157.63,2121.29,7278.91,2117.91,21338.55,25.44
229,JHARKHAND,Giridih,41825.69,649.04,2293.74,2487.58,47256.05,3770.48,43485.57,6578.63,5008.87,11587.5,4254.41,31898,26.65
230,JHARKHAND,Godda,19014.46,258.68,1854.2,882.37,22009.71,1933.29,20076.42,1698.5,2482.25,4180.75,2171.27,15895.62,20.82
231,JHARKHAND,Gumla,42961.41,261.41,4712.07,1028.07,48962.96,4667.56,44295.4,3589.5,1686.42,5275.92,1677.75,39019.42,11.91
232,JHARKHAND,Hazaribagh,27943.34,838.42,2532.37,3049.52,34363.65,2783.94,31579.71,7238.25,3866.91,11105.16,3178.68,20474.48,35.17
233,JHARKHAND,Jamtara,8074.83,577.17,568.12,2302.74,11522.86,906,10616.86,2060.25,1229.08,3289.33,1225.01,7327.51,30.98
234,JHARKHAND,Khunti,12976.92,169.18,997.74,664.75,14808.59,1268.43,13540.16,2265,866.58,3131.58,859.74,10408.55,23.13
235,JHARKHAND,Koderma,7660.66,186.34,203.09,744.01,8794.1,745.72,8048.38,1947.38,1138.88,3086.26,1119.92,4962.08,38.35
236,JHARKHAND,Latehar,19579.37,546.62,1292.83,2114.29,23533.11,1789.93,21743.18,4948.5,1382.29,6330.79,1264.98,15412.35,29.12
237,JHARKHAND,Lohardaga,17146.98,147.31,1845.92,580.3,19720.51,1756.56,17963.95,1793.5,673.87,2467.37,673.91,15496.54,13.74
238,JHARKHAND,Pakur,11628.02,388.86,756.09,1546.81,14319.78,975.94,13343.84,1131.5,1530.68,2662.18,1509.9,10681.62,19.95
239,JHARKHAND,Palamau,30212.86,963.28,1523.56,3789.8,36489.5,2883.52,33605.98,6210,3427.12,9637.12,3280.41,23968.77,28.68
240,JHARKHAND,Ramgarh,9360.67,581.11,517.79,991.51,11451.08,1110.85,10340.23,1405.25,5887.73,7292.98,2741,3047.21,70.53
241,JHARKHAND,Ranchi,36519.48,670.1,2661.27,2420.04,42270.89,3448.89,38822,7897.88,5045.2,12943.07,3574.3,25878.83,33.34
242,JHARKHAND,Sahebganj,20486.4,377.01,1503.51,1495.73,23862.65,2357.72,21504.93,1147,2463.17,3610.17,2422.66,17894.72,16.79
243,JHARKHAND,Saraikela - Kharsawan,12283.03,363.38,968.91,1443.75,15059.07,1505.91,13553.16,739.5,1934.62,2674.12,1738.16,10879.01,19.73
244,JHARKHAND,Simdega,29535.04,102.44,2565.09,395.94,32598.51,2609.95,29988.56,1807,927.59,2734.59,927.65,27253.91,9.12
245,JHARKHAND,West Singhbhum,28105,390.68,3131,1543.73,33170.41,3030.68,30139.73,1527.5,2727.03,4254.53,2657.34,25885.13,14.12
246,KARNATAKA,Bagalkote,10477.24,21996.09,5949.99,15172.94,53596.26,4490.83,49105.42,43221.71,3190.55,46412.27,3939.92,8581.31,94.52
247,KARNATAKA,Ballari,20038.42,17031.85,13407.76,11495.3,61973.33,5740.2,56233.13,27270.44,2925.91,30196.35,3932.84,25555.72,53.7
248,KARNATAKA,Belagavi,24203.17,36407.35,10925.76,21458.54,92994.83,7194.77,85800.06,57186.82,8116.67,65303.5,10408.98,22234.42,76.11
249,KARNATAKA,Bengaluru Rural,10030.93,3217.15,4998.61,3266.05,21512.75,1592.11,19920.63,23137.08,1419.4,24556.48,1425.05,0,123.27
250,KARNATAKA,Bengaluru Urban,5636.04,2009.56,3623.57,2335.78,13604.94,840.18,12764.76,16997.34,1360.2,18357.55,1360.2,0,143.81
251,KARNATAKA,Bidar,28734.1,2149.88,3874.19,3696.44,38454.6,2342.54,36112.06,14144.38,1147.42,15291.8,1238.36,20729.31,42.35
252,KARNATAKA,Chamrajnagara,22352.92,7909.49,6062.49,4853.7,41178.59,2347.31,38831.29,29633.13,2467.16,32100.29,3414.34,7761.34,82.67
253,KARNATAKA,Chikballapur,12920.76,9415.14,7900.98,5591.41,35828.29,2950.87,32877.41,50906.69,3048.64,53955.34,3070.45,0,164.11
254,KARNATAKA,Chikkamagaluru,35855.69,12370.05,12862.31,8964.15,70052.19,12634.92,57417.27,26667.19,2348.65,29015.84,2601.71,29623.61,50.54
255,KARNATAKA,Chitradurga,17804.11,7332.88,15463.17,8238.35,48838.51,3487.69,45350.82,47969.25,4197.82,52167.07,4371.99,3971.29,115.03
256,KARNATAKA,Dakshin Kannada,37400.72,1763.57,7174.05,3108.93,49447.27,19715.44,29731.83,16068.17,2542.83,18611.01,2722.64,10941.01,62.6
257,KARNATAKA,Davangere,18077.32,15762.44,13696.62,23940.01,71476.39,5417.66,66058.73,58179.35,3244.98,61424.33,3867.82,8358.28,92.98
258,KARNATAKA,Dharwad,10790.5,4140.64,6235.62,3877.1,25043.85,4347.27,20696.58,11596.84,1097.57,12694.41,1584.83,7514.91,61.34
259,KARNATAKA,Gadag,6049.26,7504.44,6011.61,8600.05,28165.35,1770.87,26394.49,22175.82,1685.03,23860.85,2006.36,3397.35,90.4
260,KARNATAKA,Hassan,21453.38,27587.43,13069.44,18157.57,80267.82,8905.75,71362.06,42034.71,3197.52,45232.23,3809.85,27053.42,63.38
261,KARNATAKA,Haveri,12629.17,22914.69,9235.47,15745.02,60524.35,4781.69,55742.66,29402.17,2275.61,31677.78,2848.98,23491.5,56.83
262,KARNATAKA,Kalaburagi,37689.57,3108.96,9048.7,5122.77,54970,4201.28,50768.72,16805.85,3773.44,20579.29,4198.17,29764.7,40.54
263,KARNATAKA,Kodagu,22710.98,2532.31,9156.02,2454.16,36853.46,5517.76,31335.71,8829.55,1679.76,10509.3,2156.62,20349.54,33.54
264,KARNATAKA,Kolar,15936.03,8918.46,7515.11,9278.49,41648.09,2108.84,39539.25,78747.74,4793.06,83540.8,4793.06,0,211.29
265,KARNATAKA,Koppal,10628.83,18930.66,7018,22523.88,59101.37,4121.14,54980.23,29268,1850.02,31118.02,2342.43,23369.8,56.6
266,KARNATAKA,Mandya,11155.86,54173.08,7481.59,15549.24,88359.76,5690.33,82669.43,46594.47,2415.29,49009.75,4201.14,31873.82,59.28
267,KARNATAKA,Mysuru,27551.67,28487.71,12551.05,10004.29,78594.72,5471.1,73123.62,26747.49,10747.82,37495.31,13184.79,33191.34,51.28
268,KARNATAKA,Raichur,15046.91,19693.9,9152.18,31843.88,75736.86,5774.27,69962.6,27692.29,3025.89,30718.17,4779.57,37490.74,43.91
269,KARNATAKA,Ramanagara,6892.9,10549.34,7003.89,6668.95,31115.08,1425.34,29689.74,26876.22,1791.87,28668.09,1913.45,1384.74,96.56
270,KARNATAKA,Shivamogga,43623.92,28103.19,11424.19,18773.26,101924.56,13978.91,87945.65,27770.39,3033.88,30804.28,3693.71,56481.55,35.03
271,KARNATAKA,Tumakuru,22351.35,21430.05,20112,12412.3,76305.69,4773.92,71531.77,59684.29,5163.3,64847.59,5567.43,12049.52,90.66
272,KARNATAKA,Udupi,42595.58,1633.25,5995.48,1710.56,51934.87,20525.66,31409.21,9441.83,3706.56,13148.38,3962.1,18005.27,41.86
273,KARNATAKA,Uttar kannada,62185.34,22783.03,5611.27,6296.24,96875.89,35165.13,61710.76,21200.73,3598.95,24799.68,3865.27,36644.77,40.19
274,KARNATAKA,Vijayapura,29466.66,5399.38,9209.48,8791.73,52867.25,3958.55,48908.7,30057.84,3468.86,33526.7,4078.24,14772.62,68.55
275,KARNATAKA,Yadgir,16407.06,10756.21,5425.01,12015.25,44603.53,3260.46,41343.06,12366.11,1663.79,14029.9,2397.36,26579.59,33.94
276,KERALA,Alappuzha,25864.83,95.99,7090.63,10869,43920.45,3463.11,40457.33,3982.61,9682.15,13664.76,9505.93,26891.33,33.78
277,KERALA,Ernakulam,34333.66,359.69,7264.2,13545.26,55502.81,5550.28,49952.53,8862.61,13032.27,21894.88,14348.58,26741.34,43.83
278,KERALA,Idukki,15343.49,208.49,3275.63,1854.21,20681.82,2068.18,18613.64,6295.75,4570.29,10866.04,4557.61,7747.6,58.38
279,KERALA,Kannur,38938.74,0,0,6899.83,45838.56,4583.85,41254.71,8888.11,9897.26,18785.37,10553.89,21812.71,45.54
280,KERALA,Kasargod,26319.15,772.81,0,4658.31,31750.27,3175.03,28575.25,16450.76,6306.82,22757.58,6998.24,5176.3,79.64
281,KERALA,Kollam,23868.19,149.12,8949.21,3880.61,36847.12,3553.56,33293.56,5351.11,11115.17,16466.28,12810.14,15132.31,49.46
282,KERALA,Kottayam,27883.63,116.03,6607.36,7008.47,41615.49,4161.55,37453.94,5243.1,8360.61,13603.71,9246.09,22964.75,36.32
283,KERALA,Kozhikode,28333.75,168.91,4020.81,1489.48,34012.94,3401.29,30611.65,5078.46,12751.12,17761.63,14217.51,11315.67,58.02
284,KERALA,Malappuram,37390.3,355.78,5982.19,8553.02,52281.29,5228.13,47053.16,10113.27,21514.11,31627.38,25499.12,11440.78,67.22
285,KERALA,Palakkad,28693.26,770.96,6097.53,30153.58,65715.33,6571.55,59143.78,19420.79,13961.64,33238.72,14432.82,25106.52,56.2
286,KERALA,Pathanamthitta,18298.81,132.19,6343.97,3533.64,28308.61,2725.38,25583.23,3927.38,5521.15,9448.53,5521.15,16134.7,36.93
287,KERALA,Thiruvananthapuram,19598.91,246.64,6602.58,3037.03,29485.17,2514.7,26970.47,5429.26,11786.54,17215.8,12174.05,9367.15,63.83
288,KERALA,Thrissur,41301.19,923.56,5888.42,17113.35,65226.52,6178.17,59048.35,21348.86,12707.24,34056.1,13456.22,24243.27,57.67
289,KERALA,Wayanad,25034.74,31.29,0,670.79,25736.83,2573.68,23163.14,1665.46,4012.15,5677.61,3806.21,17374.67,24.51
290,MADHYAPRADESH,Agar,33210.85,2451.57,0,8723.77,44386.19,2219.31,42166.88,37652.02,1497.51,39149.53,1746.16,5474.79,92.84
291,MADHYAPRADESH,Alirajpur,17303.91,761.64,0,1599.22,19664.77,1385.62,18279.15,5781.41,2446.14,8227.55,2374.84,9755.98,45.01
292,MADHYAPRADESH,Anuppur,30420,101,5577.47,269,36367.47,1818,34549.47,1307,1447,2754,1469,31556.42,7.97
293,MADHYAPRADESH,Ashoknagar,31436.36,2198.44,0,8283.15,41917.95,2095.96,39821.99,20075.63,1790.3,21865.93,1907.83,17569.99,54.91
294,MADHYAPRADESH,Balaghat,79825,4033,8005.11,2732,94595.11,5077,89518.11,11760.05,3528.95,15289,3986,73242.72,17.08
295,MADHYAPRADESH,Barwani,43282.48,2592.54,0,28779.87,74654.89,3879.36,70775.53,35659.06,3334.2,38993.26,3620.9,31065.73,55.09
296,MADHYAPRADESH,Betul,87832.29,4914.79,15543.34,17950.96,126241.38,6569.6,119671.78,65907.71,3078.94,68986.65,3380.83,49921.41,57.65
297,MADHYAPRADESH,Bhind,58262.08,1354.22,2332.83,14175.95,76125.08,3806.22,72318.86,23214.79,2811.95,26026.74,3480.21,45202.07,35.99
298,MADHYAPRADESH,Bhopal,28779,4565,0,5604,38948,1947,37001,23462,2493,25955,2493,10672.05,70.15
299,MADHYAPRADESH,Burhanpur,31137.27,1167.14,0,5827.37,38131.78,2118.41,36013.37,22765.41,1437.19,24202.6,1590.32,11442.06,67.2
300,MADHYAPRADESH,Chhatarpur,80722.05,4192.27,0,18549.74,103464.06,4971.03,98493.03,57599.96,3173.96,60773.92,3499.38,36917.6,61.7
301,MADHYAPRADESH,Chhindwara,90989,3878,11903.79,12802,119572.79,6221,113351.79,58651,3924,62575,4272,49840.19,55.2
302,MADHYAPRADESH,Damoh,29884.61,2032.92,0,8963.43,40880.96,2597.49,38283.47,19581.66,2697.66,22279.32,3113.47,15183.69,58.2
303,MADHYAPRADESH,Datia,29126.08,755.83,0,6694.67,36576.58,1828.82,34747.76,12584.03,1371.07,13955.1,1454.96,20503.11,40.16
304,MADHYAPRADESH,Dewas,65191.87,3163.86,0,14705.92,83061.65,4316.48,78745.17,62446.51,3879.09,66325.6,4119.22,14017.33,84.23
305,MADHYAPRADESH,Dhar,82177,5498,0,32342,120017,6799.36,113217.64,73000.19,4988.38,77988.57,5934.85,40215.09,68.88
306,MADHYAPRADESH,Dindori,33793,122,4682.05,417,39014.05,2606,36408.05,2076,1633,3709,1908,32179.1,10.19
307,MADHYAPRADESH,Guna,69841.94,4281.77,0,13680.39,87804.1,4390.33,83413.77,43898.77,2226.02,46124.79,2672.3,36508.8,55.3
308,MADHYAPRADESH,Gwalior,51556,8152,1359,17709,78776,3939,74837,18890.59,3457.59,22348.18,4202,51225.77,29.86
309,MADHYAPRADESH,Harda,32120,2853,0,15692,50665,2533,48132,13795,1107,14902,1199,32971.95,30.96
310,MADHYAPRADESH,Hoshangabad,124441,11000,0,61145,196586,9804,186782,39817,1863,41680,2277,144408.55,22.31
311,MADHYAPRADESH,Indore,37608,7091,0,13193,57892,2895,54997,57544,6597,64141,7098,3143.9,116.63
312,MADHYAPRADESH,Jabalpur,58987,3628,1070,6659,70344,3521,66823,25607,2773,28380,2980,37820.05,42.47
313,MADHYAPRADESH,Jhabua,20865.68,792.98,0,2383.08,24041.74,1810.78,22230.96,10039.47,2682.79,12722.26,2870.1,8918.97,57.23
314,MADHYAPRADESH,Katni,30701,1768,0,4767,37236,1851,35385,13957,2507,16464,3318,17733.95,46.53
315,MADHYAPRADESH,Khandwa,52810.08,2736.45,0,51211.66,106758.19,5692.66,101065.53,40713.16,2650.66,43364.22,3334.75,56620.06,42.91
316,MADHYAPRADESH,Khargone,63680.41,3341.48,0,66590.74,133612.63,6908.6,126704.03,42281.12,3904.13,46185.25,4547.41,79300.92,36.45
317,MADHYAPRADESH,Mandla,44442.5,863.23,6575.45,3858.74,55739.92,5830,49909.92,6430,2437.3,8867.3,2835.51,40278.84,17.77
318,MADHYAPRADESH,Mandsaur,46559.88,2784.63,0,12095.16,61439.67,3071.98,58367.69,57087.86,3156.84,60244.7,3660.06,1695.81,103.22
319,MADHYAPRADESH,Morena,49923.96,970,0,20804,71697.96,3584,68113.96,19604,4620,24224,9536,38280.96,35.56
320,MADHYAPRADESH,Narsinghpur,104397.95,3255.17,0,16195.49,123848.61,6235.34,117613.27,72389.65,2112.12,74501.77,2232.21,42674.61,63.34
321,MADHYAPRADESH,Neemuch,30833.06,4035.45,0,8165.63,43034.14,2151.7,40882.44,34006.48,1742.04,35748.52,1876.26,4738.5,87.44
322,MADHYAPRADESH,Panna,41228.77,1014.41,0,5383.68,47626.86,2661.47,44965.39,14259.89,2150.97,16410.86,2721.22,27661.66,36.5
323,MADHYAPRADESH,Raisen,76591.69,3257.56,0,9480.92,89330.17,4466.46,84863.71,40757.16,3639.12,44396.28,3835.69,39725.05,52.31
324,MADHYAPRADESH,Rajgarh,71944.38,4439.74,0,12575.05,88959.17,4447.96,84511.21,66974.15,3565.53,70539.68,3666.63,13335.78,83.47
325,MADHYAPRADESH,Ratlam,58567.66,5881.47,0,20690.64,85139.77,4257,80882.77,99287.2,3135.97,102423.17,4613.04,2764.17,126.63
326,MADHYAPRADESH,Rewa,46107.2,2699.16,1439.82,12228.54,62474.72,3431.58,59043.14,21734.56,4848.06,26582.62,4663.29,31918.09,45.02
327,MADHYAPRADESH,Sagar,91016,3616.3,0,14760.87,109393.17,5946.9,103446.27,56953.05,3362.69,60315.74,4987.42,41001.45,58.31
328,MADHYAPRADESH,Satna,45101.95,3168.33,3467.63,12970.38,64708.29,3289.04,61419.25,37639.1,4221.07,41860.17,4676.97,18470.1,68.15
329,MADHYAPRADESH,Sehore,58466.39,3656.46,0,12451.74,74574.59,3729.73,70844.86,41495.49,2369.69,43865.18,2813.85,26180.08,61.92
330,MADHYAPRADESH,Seoni,67485,1761,3520.7,5865,78631.7,4240,74391.7,25682,2987,28669,3195,45066.65,38.54
331,MADHYAPRADESH,Shahdol,47145.5,245.02,7371.51,1030.88,55792.91,3064.5,52728.41,2681.56,2081.44,4763,2182.44,47552.22,9.03
332,MADHYAPRADESH,Shajapur,46005.31,2920.61,0,9661.5,58587.42,2929.38,55658.04,55071.97,1989.06,57061.03,2117.11,3557.82,102.52
333,MADHYAPRADESH,Sheopur,33569.28,781.99,0,18725.86,53077.13,4755.28,48321.85,15637.03,1739.31,17376.34,1654.47,30769.49,35.96
334,MADHYAPRADESH,Shivpuri,60904.53,3342.85,0,13694.96,77942.34,4491.02,73451.32,47078.63,3753,50831.63,4097.81,21722.3,69.2
335,MADHYAPRADESH,Sidhi,27743.1,838.69,3545.53,1960.96,34088.28,1828.8,32259.48,6948.3,2515.7,9464,2632.73,22301.17,29.34
336,MADHYAPRADESH,Singrauli,36463.69,722.85,0,2228.05,39414.59,2182.55,37232.04,8283.15,2189.75,10472.9,2052.44,26568.13,28.13
337,MADHYAPRADESH,Tikamgarh,39812.81,3058.72,0,11114.48,53986.01,2699.3,51286.71,33793.39,3619.96,37413.35,5606.97,11343.48,72.95
338,MADHYAPRADESH,Ujjain,71197.3,4816.38,0,18792.33,94806.01,4740.31,90065.7,85334.3,3241.58,88575.88,6368.19,9098.42,98.35
339,MADHYAPRADESH,Umaria,40067,377,5916.66,948.4,47309.06,2498.5,44810.56,4059.1,1366.7,5425.8,1426.4,39120.06,12.11
340,MADHYAPRADESH,Vidisha,78864.5,2598.18,0,11755.17,93217.85,4660.9,88556.95,49331.56,3133.11,52464.67,3803.35,34950.75,59.24
341,MAHARASHTRA,Ahmednagar,86779.79,13218.21,14556.76,45839.9,160394.66,8638.8,151755.85,114971.91,5602.46,120574.37,6267.86,38775.64,79.45
342,MAHARASHTRA,Akola,32077,1388.27,300.6,8648.42,42414.28,2958.76,39455.52,21286.27,2347.5,23633.76,3180.88,12853.2,59.9
343,MAHARASHTRA,Amravati,61081.3,4616.65,1574.71,27139.38,94412.04,6484.89,87927.15,75242.92,2404.9,77647.82,2860.54,18434.15,88.31
344,MAHARASHTRA,Aurangabad,65441.68,6707.02,334.38,30575.06,103058.14,5185.7,97872.44,68437.74,3479.85,71917.59,13706.17,15728.53,73.48
345,MAHARASHTRA,Beed,78387.68,7881.46,6240.28,33102.83,125612.25,6287.39,119324.86,67596.39,4177.29,71773.68,12137.51,39590.95,60.15
346,MAHARASHTRA,Bhandara,31142.09,45350.23,417.8,15413.63,92323.75,6784.11,85539.63,20990.98,3521.3,24512.27,3817.34,60731.32,28.66
347,MAHARASHTRA,Buldhana,64156.86,4768.16,275.87,19519.09,88719.98,5127.67,83592.31,58983.5,3106.29,62089.78,3817.05,23043.24,74.28
348,MAHARASHTRA,Chandrapur,97204.67,4834.16,1471.94,10306.92,113817.69,5908.87,107908.82,10637,10228.01,20865.01,11247.56,86024.26,19.34
349,MAHARASHTRA,Dhule,44091.26,7170.15,0,20694.25,71955.66,4176.84,67778.81,34545.18,1786.61,36331.79,6129.71,27103.92,53.6
350,MAHARASHTRA,Gadchiroli,94138.79,2040.86,0,10389.57,106569.21,5970.25,100598.96,19177.22,3643.47,22820.69,4187.79,77233.95,22.68
351,MAHARASHTRA,Gondia,42884.11,6619.76,645.56,15779.95,65929.38,3924.61,62004.77,9398.54,5985.11,15383.64,6538.2,46068.04,24.81
352,MAHARASHTRA,Hingoli,46490.02,1492.73,1340.56,28431.41,77754.73,3937.89,73816.84,37052.52,2163.03,39215.55,7408.27,29356.05,53.13
353,MAHARASHTRA,Jalgaon,86052.15,6375.98,574.14,44902.36,137904.63,6974.15,130930.48,100695.03,4880.25,105575.29,15343.12,20161.03,80.63
354,MAHARASHTRA,Jalna,57320.69,2522.77,115.46,24898.25,84857.16,4621.78,80235.38,42433.06,1360.75,43793.81,3919.76,33882.56,54.58
355,MAHARASHTRA,Kolhapur,52822.22,9290.17,753.39,66060.06,128925.84,6841.7,122084.14,49557.12,1751.76,51308.88,1997.01,70530.02,42.03
356,MAHARASHTRA,Latur,45726.03,6929.64,0,16210.55,68866.23,3453.2,65413.03,34270.64,2142.34,36412.97,4126.61,27018.98,55.67
357,MAHARASHTRA,Nagpur,66817.65,6221.47,2587.51,19143,94769.63,5165.1,89604.53,35642.88,10318.95,45961.83,10660.92,43300.72,51.29
358,MAHARASHTRA,Nanded,98215.34,843.03,3504.27,17403.1,119965.73,6002.56,113963.17,34916.94,3270.07,38187,9328.19,69718.04,33.51
359,MAHARASHTRA,Nandurbar,39060.71,2624.03,0,8939.55,50624.3,3201.39,47422.91,17590.86,3064.69,20655.56,11934.88,17941.71,43.56
360,MAHARASHTRA,Nashik,133827.97,14203.47,0,48347.66,196379.1,10743.78,185635.32,104572.27,3518.53,108090.8,8578.07,76211,58.23
361,MAHARASHTRA,Osmanabad,60460.58,6503.68,2583.66,15676.73,85224.64,4261.23,80963.41,48461.89,2305.61,50767.51,6232.84,26268.67,62.7
362,MAHARASHTRA,Palghar,19011.8,241.69,0,3425.04,22678.53,1361.94,21316.58,3703.08,885.36,4588.44,4301.93,13311.58,21.53
